time,Latitude,,Longitude,
235235,4202.1142,N,7141.7854,W
235236,4202.1142,N,7141.7854,W
235237,4202.1142,N,7141.7854,W
235238,4202.1142,N,7141.7854,W
235239,4202.1142,N,7141.7854,W
235240,4202.1142,N,7141.7854,W
235241,4202.1142,N,7141.7854,W
235242,4202.1142,N,7141.7854,W
235243,4202.1142,N,7141.7854,W
235244,4202.1142,N,7141.7854,W
235245,4202.1142,N,7141.7854,W
235246,4202.1142,N,7141.7854,W
235247,4202.1142,N,7141.7854,W
235248,4202.1142,N,7141.7854,W
235249,4202.1142,N,7141.7854,W
235250,4202.1142,N,7141.7854,W
235251,4202.1142,N,7141.7854,W
235252,4202.1142,N,7141.7854,W
235253,4202.1142,N,7141.7854,W
235254,4202.1142,N,7141.7854,W
235255,4202.1142,N,7141.7854,W
235256,4202.1142,N,7141.7854,W
235257,4202.1142,N,7141.7854,W
235258,4202.1142,N,7141.7854,W
235259,4202.1142,N,7141.7854,W
235300,4202.1142,N,7141.7854,W
235301,4202.1142,N,7141.7854,W
235302,4202.1142,N,7141.7854,W
235303,4202.1142,N,7141.7854,W
235304,4202.1142,N,7141.7854,W
235305,4202.1142,N,7141.7854,W
235306,4202.1142,N,7141.7854,W
235307,4202.1142,N,7141.7854,W
235308,4202.1142,N,7141.7854,W
235309,4202.1142,N,7141.7854,W
235310,4202.1142,N,7141.7854,W
235311,4202.1142,N,7141.7854,W
235312,4202.1142,N,7141.7854,W
235313,4202.1142,N,7141.7854,W
235314,4202.1142,N,7141.7854,W
235315,4202.1142,N,7141.7854,W
235316,4202.1142,N,7141.7854,W
235317,4202.1142,N,7141.7854,W
235318,4202.1142,N,7141.7854,W
235319,4202.1142,N,7141.7854,W
235320,4202.1142,N,7141.7854,W
235321,4202.1142,N,7141.7854,W
235322,4202.1142,N,7141.7854,W
235323,4202.1142,N,7141.7854,W
235324,4202.1142,N,7141.7854,W
235325,4202.1142,N,7141.7854,W
235326,4202.1142,N,7141.7854,W
235327,4202.1142,N,7141.7854,W
235328,4202.1142,N,7141.7854,W
235329,4202.1142,N,7141.7854,W
235330,4202.1142,N,7141.7854,W
235331,4202.1142,N,7141.7854,W
235332,4202.1142,N,7141.7854,W
235333,4202.1142,N,7141.7854,W
235334,4202.1142,N,7141.7854,W
235335,4202.1142,N,7141.7854,W
235336,4202.1142,N,7141.7854,W
235337,4202.1142,N,7141.7854,W
235338,4202.1142,N,7141.7854,W
235339,4202.1142,N,7141.7854,W
235340,4202.1142,N,7141.7854,W
235341,4202.1142,N,7141.7854,W
235342,4202.1142,N,7141.7854,W
235343,4202.1142,N,7141.7854,W
235344,4202.1142,N,7141.7854,W
235345,4202.1142,N,7141.7854,W
235346,4202.1142,N,7141.7854,W
235347,4202.1142,N,7141.7854,W
235348,4202.1142,N,7141.7854,W
235349,4202.1142,N,7141.7854,W
235350,4202.1142,N,7141.7854,W
235351,4202.1142,N,7141.7854,W
235352,4202.1142,N,7141.7854,W
235353,4202.1142,N,7141.7854,W
235354,4202.1142,N,7141.7854,W
235355,4202.1142,N,7141.7854,W
235356,4202.1142,N,7141.7854,W
